desc,calcrule_id,attachment_gt_0,deductible_gt_0,deductible_min_gt_0,deductible_max_gt_0,limit_gt_0,ded_type,ded_code,lim_type,lim_code,share_gt_0
deductible and limit,1,0,1,0,0,1,0,0,0,0,0
franchise deductible and limit,3,0,1,0,0,1,0,2,0,0,0
franchise deductible,39,0,1,0,0,0,0,2,0,0,0
deductible % loss with limit % loss,5,0,1,0,0,1,1,0,1,0,0
no deductible; limit and max. deductible,7,0,0,0,1,1,0,0,0,0,0
no deductible % loss; limit and max. deductible,7,0,0,0,1,1,1,0,0,0,0
deductible; limit and max. deductible,7,0,1,0,1,1,0,0,0,0,0
deductible; limit and min and max. deductible,7,0,1,1,1,1,0,0,0,0,0
no deductible; limit and min and max. deductible,7,0,0,1,1,1,0,0,0,0,0
no deductible; limit and min. deductible,8,0,0,1,0,1,0,0,0,0,0
no deductible % loss; limit and min. deductible,8,0,0,1,0,1,1,0,0,0,0
deductible; limit and min. deductible,8,0,1,1,0,1,0,0,0,0,0
no deductible or limit; max. deductible,10,0,0,0,1,0,0,0,0,0,0
no deductible or limit % loss; max. deductible,10,0,0,0,1,0,0,0,1,0,0
"deductible, no limit, max. deductible",10,0,1,0,1,0,0,0,0,0,0
"deductible, no limit % loss; max. deductible",10,0,1,0,1,0,0,0,1,0,0
no deductible % loss or limit; max. deductible,10,0,0,0,1,0,1,0,0,0,0
no deductible % loss or limit % loss; max. deductible,10,0,0,0,1,0,1,0,1,0,0
no deductible or limit; min. deductible,11,0,0,1,0,0,0,0,0,0,0
no deductible or limit % loss; min. deductible,11,0,0,1,0,0,0,0,1,0,0
"deductible, no limit; min. deductible",11,0,1,1,0,0,0,0,0,0,0
"deductible, no limit % loss; min. deductible",11,0,1,1,0,0,0,0,1,0,0
no deductible % loss or limit; min. deductible,11,0,0,1,0,0,1,0,0,0,0
no deductible % loss or limit % loss; min. deductible,11,0,0,1,0,0,1,0,1,0,0
deductible; no limit,12,0,1,0,0,0,0,0,0,0,0
deductible; no limit % loss,12,0,1,0,0,0,0,0,1,0,0
no deductible or limit; min. & max. deductible,13,0,0,1,1,0,0,0,0,0,0
no deductible or limit % loss; min. & max. deductible,13,0,0,1,1,0,0,0,1,0,0
no deductible % loss or limit; min. & max. deductible,13,0,0,1,1,0,1,0,0,0,0
no deductible % loss or limit % loss; min. & max. deductible,13,0,0,1,1,0,1,0,1,0,0
"no deductible, limit only",14,0,0,0,0,1,0,0,0,0,0
no deductible % loss; limit only,14,0,0,0,0,1,1,0,0,0,0
no deductible; limit % loss,15,0,0,0,0,1,0,0,1,0,0
no deductible % loss; limit % loss,15,0,0,0,0,1,1,0,1,0,0
deductible; limit % loss,15,0,1,0,0,1,0,0,1,0,0
deductible % loss; no limit,16,0,1,0,0,0,1,0,0,0,0
deductible % loss; no limit % loss,16,0,1,0,0,0,1,0,1,0,0
deductible % loss; limit,33,0,1,0,0,1,1,0,0,0,0
deductible % loss with min. and max. deductible; no limit,19,0,1,1,1,0,1,0,0,0,0
deductible % loss with min. and max. deductible; no limit % loss,19,0,1,1,1,0,1,0,1,0,0
deductible % loss with max. deductible; no limit,19,0,1,0,1,0,1,0,0,0,0
deductible % loss with max. deductible; no limit % loss,19,0,1,0,1,0,1,0,1,0,0
deductible % loss with min. deductible; no limit,19,0,1,1,0,0,1,0,0,0,0
deductible % loss with min. deductible; no limit % loss,19,0,1,1,0,0,1,0,1,0,0
reverse franchise deductible; no limit,20,0,1,0,0,0,0,99,0,0,0
reverse franchise deductible; no limit % loss,20,0,1,0,0,0,0,99,1,0,0
"deductible with min and max deductible, no limit",13,0,1,1,1,0,0,0,0,0,0
"deductible with min and max deductible, no limit % loss",13,0,1,1,1,0,0,0,1,0,0
"pass through; no deductible, no limit",100,0,0,0,0,0,0,0,0,0,0
pass through; no deductible % loss,100,0,0,0,0,0,1,0,0,0,0
pass through; no limit % loss,100,0,0,0,0,0,0,0,1,0,0
"pass through; no deductible % loss, no limit % loss",100,0,0,0,0,0,1,0,1,0,0
"participation only; no deductible, no limit",200,0,0,0,0,0,0,0,0,0,1
participation only; no deductible % loss,200,0,0,0,0,0,1,0,0,0,1
participation only; no limit % loss,200,0,0,0,0,0,0,0,1,0,1
"participation only; no deductible % loss, no limit % loss",200,0,0,0,0,0,1,0,1,0,1
deductible % loss with min and max deductible and limit,26,0,1,1,1,1,1,0,0,0,0
no deductible % loss;  min and max deductible and limit,26,0,0,1,1,1,1,0,0,0,0
deductible % loss with min deductible and limit,26,0,1,1,0,1,1,0,0,0,0
