Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,Quantile,Loss
1,0.001000,1,1,1,1,0,0,1,0.00,0.00
1,0.001000,1,1,1,1,0,0,1,0.20,97943.84
1,0.001000,1,1,1,1,0,0,1,0.40,318573.56
1,0.001000,1,1,1,1,0,0,1,0.50,485968.19
1,0.001000,1,1,1,1,0,0,1,0.75,1213272.75
1,0.001000,1,1,1,1,0,0,1,1.00,6976739.50
22,0.001000,37,22,1,1,0,0,1,0.00,0.00
22,0.001000,37,22,1,1,0,0,1,0.20,96445.09
22,0.001000,37,22,1,1,0,0,1,0.40,318128.28
22,0.001000,37,22,1,1,0,0,1,0.50,485102.00
22,0.001000,37,22,1,1,0,0,1,0.75,1213401.25
22,0.001000,37,22,1,1,0,0,1,1.00,7015201.00
57,0.001000,85,57,1,1,0,0,1,0.00,0.00
57,0.001000,85,57,1,1,0,0,1,0.20,97982.89
57,0.001000,85,57,1,1,0,0,1,0.40,318518.97
57,0.001000,85,57,1,1,0,0,1,0.50,485854.31
57,0.001000,85,57,1,1,0,0,1,0.75,1206953.12
57,0.001000,85,57,1,1,0,0,1,1.00,7045987.50
73,0.001000,109,73,1,1,0,0,1,0.00,0.00
73,0.001000,109,73,1,1,0,0,1,0.20,96738.21
73,0.001000,109,73,1,1,0,0,1,0.40,317651.78
73,0.001000,109,73,1,1,0,0,1,0.50,486014.19
73,0.001000,109,73,1,1,0,0,1,0.75,1212221.88
73,0.001000,109,73,1,1,0,0,1,1.00,7106825.50
103,0.001000,145,103,1,1,0,0,1,0.00,0.00
103,0.001000,145,103,1,1,0,0,1,0.20,49655.50
103,0.001000,145,103,1,1,0,0,1,0.40,174923.48
103,0.001000,145,103,1,1,0,0,1,0.50,271174.19
103,0.001000,145,103,1,1,0,0,1,0.75,699351.31
103,0.001000,145,103,1,1,0,0,1,1.00,4318807.50
164,0.001000,241,164,1,1,0,0,1,0.00,0.00
164,0.001000,241,164,1,1,0,0,1,0.20,46197.65
164,0.001000,241,164,1,1,0,0,1,0.40,164388.12
164,0.001000,241,164,1,1,0,0,1,0.50,255184.17
164,0.001000,241,164,1,1,0,0,1,0.75,657834.69
164,0.001000,241,164,1,1,0,0,1,1.00,4069084.50
198,0.001000,289,198,1,1,0,0,1,0.00,0.00
198,0.001000,289,198,1,1,0,0,1,0.20,49233.03
198,0.001000,289,198,1,1,0,0,1,0.40,174893.27
198,0.001000,289,198,1,1,0,0,1,0.50,271894.94
198,0.001000,289,198,1,1,0,0,1,0.75,700960.75
198,0.001000,289,198,1,1,0,0,1,1.00,4325184.50
209,0.001000,301,209,1,1,0,0,1,0.00,257087.23
209,0.001000,301,209,1,1,0,0,1,0.20,5941822.50
209,0.001000,301,209,1,1,0,0,1,0.40,7445660.50
209,0.001000,301,209,1,1,0,0,1,0.50,8110609.50
209,0.001000,301,209,1,1,0,0,1,0.75,9848333.00
209,0.001000,301,209,1,1,0,0,1,1.00,15406446.00
252,0.001000,349,252,1,1,0,0,1,0.00,0.00
252,0.001000,349,252,1,1,0,0,1,0.20,96543.37
252,0.001000,349,252,1,1,0,0,1,0.40,318396.62
252,0.001000,349,252,1,1,0,0,1,0.50,484570.22
252,0.001000,349,252,1,1,0,0,1,0.75,1214364.50
252,0.001000,349,252,1,1,0,0,1,1.00,7216298.00
274,0.001000,385,274,1,1,0,0,1,0.00,0.00
274,0.001000,385,274,1,1,0,0,1,0.20,16281.24
274,0.001000,385,274,1,1,0,0,1,0.40,73423.33
274,0.001000,385,274,1,1,0,0,1,0.50,118436.98
274,0.001000,385,274,1,1,0,0,1,0.75,317238.50
274,0.001000,385,274,1,1,0,0,1,1.00,1976762.38
318,0.001000,445,318,1,1,0,0,1,0.00,0.00
318,0.001000,445,318,1,1,0,0,1,0.20,97482.89
318,0.001000,445,318,1,1,0,0,1,0.40,318646.22
318,0.001000,445,318,1,1,0,0,1,0.50,484132.19
318,0.001000,445,318,1,1,0,0,1,0.75,1211118.50
318,0.001000,445,318,1,1,0,0,1,1.00,7155008.50
371,0.001000,517,371,1,1,0,0,1,0.00,0.00
371,0.001000,517,371,1,1,0,0,1,0.20,96707.30
371,0.001000,517,371,1,1,0,0,1,0.40,317380.28
371,0.001000,517,371,1,1,0,0,1,0.50,485586.78
371,0.001000,517,371,1,1,0,0,1,0.75,1214084.62
371,0.001000,517,371,1,1,0,0,1,1.00,7007412.50
402,0.001000,565,402,1,1,0,0,1,0.00,0.00
402,0.001000,565,402,1,1,0,0,1,0.20,14505.67
402,0.001000,565,402,1,1,0,0,1,0.40,65178.17
402,0.001000,565,402,1,1,0,0,1,0.50,104219.34
402,0.001000,565,402,1,1,0,0,1,0.75,279452.06
402,0.001000,565,402,1,1,0,0,1,1.00,1693001.88
497,0.001000,709,497,1,1,0,0,1,0.00,0.00
497,0.001000,709,497,1,1,0,0,1,0.20,2120225.00
497,0.001000,709,497,1,1,0,0,1,0.40,3286340.75
497,0.001000,709,497,1,1,0,0,1,0.50,3839776.00
497,0.001000,709,497,1,1,0,0,1,0.75,5425991.50
497,0.001000,709,497,1,1,0,0,1,1.00,11755878.00
526,0.001000,745,526,1,1,0,0,1,0.00,0.00
526,0.001000,745,526,1,1,0,0,1,0.20,96540.76
526,0.001000,745,526,1,1,0,0,1,0.40,318217.50
526,0.001000,745,526,1,1,0,0,1,0.50,486962.69
526,0.001000,745,526,1,1,0,0,1,0.75,1211068.50
526,0.001000,745,526,1,1,0,0,1,1.00,7275202.00
534,0.001000,757,534,1,1,0,0,1,0.00,0.00
534,0.001000,757,534,1,1,0,0,1,0.20,97356.42
534,0.001000,757,534,1,1,0,0,1,0.40,317964.12
534,0.001000,757,534,1,1,0,0,1,0.50,487362.22
534,0.001000,757,534,1,1,0,0,1,0.75,1211984.00
534,0.001000,757,534,1,1,0,0,1,1.00,7180984.00
553,0.001000,793,553,1,1,0,0,1,0.00,0.00
553,0.001000,793,553,1,1,0,0,1,0.20,96986.46
553,0.001000,793,553,1,1,0,0,1,0.40,318972.09
553,0.001000,793,553,1,1,0,0,1,0.50,484969.56
553,0.001000,793,553,1,1,0,0,1,0.75,1209346.25
553,0.001000,793,553,1,1,0,0,1,1.00,6976347.50
560,0.001000,805,560,1,1,0,0,1,0.00,0.00
560,0.001000,805,560,1,1,0,0,1,0.20,96680.18
560,0.001000,805,560,1,1,0,0,1,0.40,318595.88
560,0.001000,805,560,1,1,0,0,1,0.50,486755.16
560,0.001000,805,560,1,1,0,0,1,0.75,1210204.25
560,0.001000,805,560,1,1,0,0,1,1.00,7160191.00
598,0.001000,853,598,1,1,0,0,1,0.00,0.00
598,0.001000,853,598,1,1,0,0,1,0.20,96545.55
598,0.001000,853,598,1,1,0,0,1,0.40,317882.75
598,0.001000,853,598,1,1,0,0,1,0.50,485039.38
598,0.001000,853,598,1,1,0,0,1,0.75,1211406.50
598,0.001000,853,598,1,1,0,0,1,1.00,6898811.50
614,0.001000,877,614,1,1,0,0,1,0.00,0.00
614,0.001000,877,614,1,1,0,0,1,0.20,45795.40
614,0.001000,877,614,1,1,0,0,1,0.40,163844.22
614,0.001000,877,614,1,1,0,0,1,0.50,254680.70
614,0.001000,877,614,1,1,0,0,1,0.75,657490.25
614,0.001000,877,614,1,1,0,0,1,1.00,4028943.75
676,0.001000,973,676,1,1,0,0,1,0.00,0.00
676,0.001000,973,676,1,1,0,0,1,0.20,20467.79
676,0.001000,973,676,1,1,0,0,1,0.40,78230.30
676,0.001000,973,676,1,1,0,0,1,0.50,123620.17
676,0.001000,973,676,1,1,0,0,1,0.75,320597.69
676,0.001000,973,676,1,1,0,0,1,1.00,1822243.50
692,0.001000,997,692,1,1,0,0,1,0.00,0.00
692,0.001000,997,692,1,1,0,0,1,0.20,97133.12
692,0.001000,997,692,1,1,0,0,1,0.40,317089.59
692,0.001000,997,692,1,1,0,0,1,0.50,485814.53
692,0.001000,997,692,1,1,0,0,1,0.75,1212879.38
692,0.001000,997,692,1,1,0,0,1,1.00,7352740.50
710,0.001000,1021,710,1,1,0,0,1,0.00,0.00
710,0.001000,1021,710,1,1,0,0,1,0.20,96857.01
710,0.001000,1021,710,1,1,0,0,1,0.40,318776.09
710,0.001000,1021,710,1,1,0,0,1,0.50,485837.62
710,0.001000,1021,710,1,1,0,0,1,0.75,1214815.00
710,0.001000,1021,710,1,1,0,0,1,1.00,7389793.00
745,0.001000,1081,745,1,1,0,0,1,0.00,0.00
745,0.001000,1081,745,1,1,0,0,1,0.20,288551.25
745,0.001000,1081,745,1,1,0,0,1,0.40,640446.88
745,0.001000,1081,745,1,1,0,0,1,0.50,865706.31
745,0.001000,1081,745,1,1,0,0,1,0.75,1716920.25
745,0.001000,1081,745,1,1,0,0,1,1.00,7949382.50
753,0.001000,1093,753,1,1,0,0,1,0.00,0.00
753,0.001000,1093,753,1,1,0,0,1,0.20,49258.94
753,0.001000,1093,753,1,1,0,0,1,0.40,174505.97
753,0.001000,1093,753,1,1,0,0,1,0.50,272502.41
753,0.001000,1093,753,1,1,0,0,1,0.75,700034.69
753,0.001000,1093,753,1,1,0,0,1,1.00,4488309.00
763,0.001000,1105,763,1,1,0,0,1,0.00,0.00
763,0.001000,1105,763,1,1,0,0,1,0.20,96569.84
763,0.001000,1105,763,1,1,0,0,1,0.40,317223.88
763,0.001000,1105,763,1,1,0,0,1,0.50,485152.50
763,0.001000,1105,763,1,1,0,0,1,0.75,1210770.75
763,0.001000,1105,763,1,1,0,0,1,1.00,7158512.50
769,0.001000,1117,769,1,1,0,0,1,0.00,0.00
769,0.001000,1117,769,1,1,0,0,1,0.20,96386.30
769,0.001000,1117,769,1,1,0,0,1,0.40,317846.22
769,0.001000,1117,769,1,1,0,0,1,0.50,485349.50
769,0.001000,1117,769,1,1,0,0,1,0.75,1213454.50
769,0.001000,1117,769,1,1,0,0,1,1.00,7186199.00
839,0.001000,1225,839,1,1,0,0,1,0.00,0.00
839,0.001000,1225,839,1,1,0,0,1,0.20,96671.67
839,0.001000,1225,839,1,1,0,0,1,0.40,318210.94
839,0.001000,1225,839,1,1,0,0,1,0.50,485747.25
839,0.001000,1225,839,1,1,0,0,1,0.75,1211238.00
839,0.001000,1225,839,1,1,0,0,1,1.00,7142933.00
884,0.001000,1285,884,1,1,0,0,1,0.00,0.00
884,0.001000,1285,884,1,1,0,0,1,0.20,76730.18
884,0.001000,1285,884,1,1,0,0,1,0.40,253971.89
884,0.001000,1285,884,1,1,0,0,1,0.50,388859.47
884,0.001000,1285,884,1,1,0,0,1,0.75,977206.75
884,0.001000,1285,884,1,1,0,0,1,1.00,5796281.50
903,0.001000,1309,903,1,1,0,0,1,0.00,0.00
903,0.001000,1309,903,1,1,0,0,1,0.20,49277.93
903,0.001000,1309,903,1,1,0,0,1,0.40,175426.80
903,0.001000,1309,903,1,1,0,0,1,0.50,271538.75
903,0.001000,1309,903,1,1,0,0,1,0.75,698067.50
903,0.001000,1309,903,1,1,0,0,1,1.00,4391869.50
930,0.001000,1345,930,1,1,0,0,1,0.00,0.00
930,0.001000,1345,930,1,1,0,0,1,0.20,45920.55
930,0.001000,1345,930,1,1,0,0,1,0.40,164348.48
930,0.001000,1345,930,1,1,0,0,1,0.50,255726.00
930,0.001000,1345,930,1,1,0,0,1,0.75,656062.56
930,0.001000,1345,930,1,1,0,0,1,1.00,4169264.75
968,0.001000,1405,968,1,1,0,0,1,0.00,0.00
968,0.001000,1405,968,1,1,0,0,1,0.20,49490.98
968,0.001000,1405,968,1,1,0,0,1,0.40,174353.67
968,0.001000,1405,968,1,1,0,0,1,0.50,271326.19
968,0.001000,1405,968,1,1,0,0,1,0.75,698518.31
968,0.001000,1405,968,1,1,0,0,1,1.00,4274867.00
